            Instance |     Method |               Status |      Value |      RAM |   Best (s) | Proved (s) | Solution                                                                        
                   1 |        lns |       open(improved) |      14051 |     0.00 |      81.39 |       N.A. | 3 3 3 3 3 0 0 0 0 6 6 6 7 2 2 2 2 2 2 2 1 1 5 8 7 2 4 1 1 1 4 9 8 5 5 9 9 9 9 4 4 8 5 5 5 5 5 8 8 4 
                   2 |        lns |       open(improved) |      11466 |     0.00 |       3.22 |       N.A. | 8 8 8 9 9 9 9 9 0 0 0 0 0 0 2 2 2 2 2 5 1 1 1 7 5 5 4 4 5 6 6 7 4 3 3 7 7 6 4 4 3 3 6 6 3 7 5 5 1 3 
                   3 |        lns |       open(improved) |      11531 |     0.00 |       0.42 |       N.A. | 9 6 6 6 3 3 3 3 3 5 5 5 0 0 0 0 0 0 1 2 2 8 7 1 1 2 2 2 2 8 8 7 1 1 1 2 8 4 7 1 4 4 5 5 5 4 2 0 1 4 
                   4 |        lns |       open(improved) |      14066 |     0.00 |       5.02 |       N.A. | 1 1 1 1 1 1 8 8 8 6 6 6 6 6 9 9 9 4 4 4 4 5 0 3 3 7 7 7 7 7 2 0 0 5 0 0 4 3 3 3 7 5 0 0 0 2 3 3 3 2 
                   5 |        lns |       open(improved) |      15026 |     0.00 |       1.69 |       N.A. | 0 0 0 0 2 2 2 2 7 7 7 3 3 3 3 3 4 4 1 8 8 6 9 9 8 8 8 1 6 6 9 1 1 1 1 1 1 4 4 4 5 5 9 9 9 6 6 6 9 5 
                   6 |        lns |       open(improved) |       9052 |     0.00 |       0.21 |       N.A. | 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 4 7 7 7 7 5 8 8 1 1 1 4 6 5 5 2 4 4 4 2 0 1 5 2 2 0 2 0 8 1 6 2 2 0 1 
                   7 |        lns |       open(improved) |      14019 |     0.00 |       1.55 |       N.A. | 4 4 9 9 9 9 9 8 8 8 8 8 2 2 2 2 2 0 0 0 0 6 3 7 7 0 6 6 6 5 1 6 3 7 7 7 6 6 3 5 5 5 1 1 6 6 3 3 3 5 
                   8 |        lns |       open(improved) |      15880 |     0.00 |       2.78 |       N.A. | 1 1 1 1 1 2 2 2 2 2 4 4 4 4 4 4 4 9 0 0 0 8 8 8 5 3 7 7 6 6 6 7 8 8 9 9 9 9 6 7 7 6 8 8 5 3 7 7 3 5 
                   9 |        lns |       open(improved) |      14646 |     0.00 |       0.27 |       N.A. | 6 6 6 6 6 6 6 6 3 1 1 1 1 1 1 9 9 9 9 4 0 0 2 4 5 5 0 0 5 2 2 2 2 7 0 0 0 0 8 7 7 7 8 8 2 2 2 0 9 0 
                  10 |        lns |       open(improved) |      14858 |     0.00 |      16.10 |       N.A. | 4 4 4 4 5 5 5 5 5 5 3 3 3 3 3 6 6 6 6 6 6 6 7 8 8 0 0 0 9 1 1 9 1 1 2 7 8 2 2 2 8 0 1 1 2 2 7 7 8 1 
                  11 |        lns |       open(improved) |      20333 |     0.00 |       0.24 |       N.A. | 2 2 2 2 2 2 9 9 3 3 3 3 1 1 1 1 1 1 1 1 1 1 4 8 6 7 7 7 4 0 8 5 6 4 0 4 5 1 0 4 6 8 8 6 6 6 5 0 0 4 
                  12 |        lns |       open(improved) |       8066 |     0.00 |       0.01 |       N.A. | 5 5 5 5 5 7 7 7 1 1 1 1 1 1 0 0 0 0 0 9 9 9 9 2 3 4 3 3 3 3 2 6 6 2 4 4 8 8 3 3 4 2 2 2 3 3 2 6 9 6 
                  13 |        lns |       open(improved) |      11286 |     0.00 |       0.51 |       N.A. | 1 1 1 1 1 8 8 8 7 7 7 6 6 6 6 6 6 6 6 6 4 5 5 2 2 2 2 2 9 4 4 4 3 3 0 9 3 5 5 5 3 3 3 0 2 9 0 0 0 4 
                  14 |        lns |       open(improved) |      14639 |     0.00 |       0.18 |       N.A. | 9 9 9 0 0 0 0 0 0 0 0 0 8 8 8 4 4 4 4 7 7 7 7 7 3 7 7 7 3 2 1 5 7 7 7 2 3 3 5 5 1 1 1 1 1 6 5 5 2 3 
                  15 |        lns |       open(improved) |      14836 |     0.00 |       0.31 |       N.A. | 0 0 0 0 0 0 0 7 7 7 7 5 5 5 1 1 1 3 3 3 3 3 6 9 8 8 8 8 8 2 2 4 4 6 6 6 6 6 9 4 4 2 2 6 6 4 4 8 8 2 
                  16 |        lns |       open(improved) |       8121 |     0.00 |       0.55 |       N.A. | 1 1 1 1 1 8 8 8 0 0 0 0 0 0 7 5 5 5 9 9 9 4 6 3 3 3 6 5 5 4 7 9 3 2 2 5 5 6 2 7 9 3 3 4 4 2 4 8 3 2 
                  17 |        lns |       open(improved) |      11984 |     0.00 |       2.50 |       N.A. | 6 6 6 6 6 6 9 9 9 9 5 5 3 3 7 7 7 7 7 4 4 4 4 0 0 8 4 0 0 0 1 8 1 1 2 2 4 0 8 1 8 4 4 4 8 7 1 2 2 0 
                  18 |        lns |       open(improved) |      14353 |     0.00 |       0.18 |       N.A. | 0 0 0 7 7 7 2 2 2 2 2 4 4 4 4 5 5 8 8 8 8 9 5 5 3 3 3 3 3 3 6 6 1 9 9 6 9 6 6 6 1 9 6 1 1 6 5 8 1 3 
                  19 |        lns |       open(improved) |      13412 |     0.00 |       0.15 |       N.A. | 5 5 5 5 5 5 5 5 9 9 9 9 9 4 4 4 0 1 1 1 1 2 2 3 6 6 6 6 6 6 2 7 3 2 2 3 8 3 0 0 3 8 8 3 3 2 8 3 8 8 
                  20 |        lns |       open(improved) |      15098 |     0.00 |       2.68 |       N.A. | 8 8 8 8 2 2 2 2 2 2 2 2 2 6 6 6 0 0 0 0 9 1 5 4 0 0 3 5 9 9 1 1 1 7 3 3 3 5 4 3 5 5 5 5 4 7 7 1 4 3 
                  21 |        lns |       open(improved) |      13712 |     0.00 |       0.18 |       N.A. | 6 6 6 6 6 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 1 9 0 0 1 1 1 5 4 4 4 2 8 8 5 2 7 7 7 8 8 8 1 1 2 5 1 1 1 2 
                  22 |        lns |       open(improved) |      14489 |     0.00 |       0.10 |       N.A. | 5 5 5 5 7 7 7 7 1 1 1 1 1 0 0 0 0 0 0 0 3 0 4 2 2 2 2 6 0 8 9 9 9 8 3 3 6 9 3 3 3 6 6 6 6 9 0 0 8 8 
                  23 |        lns |       open(improved) |      13909 |     0.00 |       1.15 |       N.A. | 3 3 3 3 6 6 6 6 7 7 7 7 2 2 2 2 2 2 2 2 2 1 4 4 4 4 0 0 8 8 0 1 1 5 5 5 0 9 9 0 0 0 0 5 1 1 8 5 0 9 
                  24 |        lns |       open(improved) |      15247 |     0.00 |       0.58 |       N.A. | 6 6 6 6 6 6 8 8 8 8 8 2 2 2 2 9 9 5 5 1 0 0 5 5 5 5 5 5 4 4 7 0 0 0 1 4 4 4 3 3 3 0 0 0 0 4 1 4 4 1 
                  25 |        lns |       open(improved) |      12054 |     0.00 |       0.91 |       N.A. | 5 5 5 5 5 1 1 1 1 1 8 8 8 8 2 2 2 2 2 4 4 3 7 0 0 4 4 7 3 7 0 6 6 6 6 3 9 9 9 3 3 7 3 4 6 6 9 3 9 0 
                  26 |        lns |       open(improved) |      11942 |     0.00 |       2.51 |       N.A. | 8 8 8 8 8 8 4 4 4 4 7 7 1 1 1 1 1 1 1 3 0 9 3 3 2 5 5 0 0 0 0 0 2 6 6 9 2 2 6 0 0 0 3 2 5 6 0 2 2 6 
                  27 |        lns |       open(improved) |      14217 |     0.00 |     485.59 |       N.A. | 6 6 6 6 6 6 6 7 7 7 4 4 4 4 4 4 1 1 1 1 9 0 1 1 3 3 9 5 0 1 5 5 9 9 5 5 2 2 5 3 3 0 0 5 5 2 9 0 0 5 
                  28 |        lns |       open(improved) |       9710 |     0.00 |       0.33 |       N.A. | 7 7 7 7 7 7 5 5 5 5 5 5 5 5 8 3 3 3 9 9 9 9 1 1 6 6 1 1 1 1 1 0 2 4 0 0 3 2 3 3 2 1 1 1 2 4 6 6 0 2 
                  29 |        lns |       open(improved) |      10105 |     0.00 |       0.78 |       N.A. | 8 8 8 8 9 9 9 6 6 6 6 6 6 7 7 7 7 7 7 7 4 2 5 5 5 2 2 4 4 3 3 0 1 1 2 2 1 7 4 3 3 0 3 7 4 0 2 2 0 1 
